idplayer,InstID,idband,pfname,plname,homecity,homestate
1,1,1,The,Edge,Dublin,Ireland
2,2,1,Adam,Clayton,Dublin,Ireland
3,3,1,Bono,NULL,Dublin,Ireland
4,4,1,Larry,"Mullen Jr",Dublin,Ireland
5,3,2,Eminem,NULL,"St. Joseph",Missouri
6,1,3,Dan,DeLeo,"San Diego",CA
7,2,3,Robert,DeLeo,"San Diego",CA
8,3,3,Scott,Weiland,"San Diego",CA
9,4,3,Eric,Kretz,"San Diego",CA
10,1,4,Peter,Buck,Athens,GA
11,2,4,Mike,Mills,Athens,GA
12,3,4,Michael,Stipe,Athens,GA
13,4,4,Bill,Berry,Athens,GA
14,3,5,Drake,Graham,Toronto,Canada
15,3,6,Michael,Jackson,Gary,IN
16,1,7,Joe,Satriani,Westbury,NY
17,3,8,Bruce,Springsteen,"Long Branch",NJ
18,1,8,Bruce,Springsteen,"Long Branch",NJ
19,3,9,Stefani,"Germanotta - Lady Gaga","New York",NY
20,3,10,Madonna,Ciccone,"Bay City",MI
22,3,12,Glen,Phillips,"Santa Barbara",CA
23,1,12,Todd,Nichols,"Santa Barbara",CA
24,2,12,Dean,Dinning,"Santa Barbara",CA
25,4,12,Randy,Guss,"Santa Barbara",CA
26,2,13,Ahren,Stringer,Gympie,Australia
27,3,13,Joel,Birch,Gympie,Australia
28,1,13,Dan,Brown,Gympie,Australia
29,4,13,Joe,Longobardi,Gympie,Australia
